nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000254	Isabelle Adjani	1955	\N	actress,soundtrack,producer	tt0082933,tt0110963,tt0094828,tt0074811
nm0000255	Ben Affleck	1972	\N	producer,actor,writer	tt0119217,tt0840361,tt1024648,tt2267998
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0082010,tt0099253,tt0848228,tt0074812
nm0000257	Alan Alda	1936	\N	actor,miscellaneous,soundtrack	tt0082405,tt0068098,tt0097123,tt0116242
nm0000258	Stephanie Zimbalist	1956	\N	actress,writer	tt0083470,tt3717214,tt0076993,tt0080402
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0125377,tt0087562,tt0210365,tt0395584
nm0000260	Joan Allen	1956	\N	actress,producer,soundtrack	tt0120789,tt0452608,tt0115988,tt3170832
nm0000261	Karen Allen	1951	\N	actress,director,soundtrack	tt0082971,tt0077975,tt0088172,tt0367882
nm0000262	Nancy Allen	1950	\N	actress,soundtrack	tt0100502,tt0080661,tt0093870,tt0107978
nm0000263	Kirstie Alley	1951	\N	actress,producer,writer	tt0097778,tt0084726,tt0157503,tt0114852
nm0000264	Pedro Almodóvar	1949	\N	writer,director,soundtrack	tt1189073,tt0095675,tt0287467,tt0441909
nm0000265	Robert Altman	1925	2006	director,producer,writer	tt0105151,tt0280707,tt0108122,tt0073440
nm0000266	Ursula Andress	1936	\N	actress	tt0055928,tt0061452,tt0082186,tt0060177
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0084865,tt0058331,tt0247638,tt0059742
nm0000268	Ann-Margret	1941	\N	actress,soundtrack	tt0073812,tt0107050,tt0056891,tt0066892
nm0000269	Jean-Jacques Annaud	1943	\N	director,writer,producer	tt0215750,tt0091605,tt0120102,tt2909116
nm0000270	Gabrielle Anwar	1970	\N	actress,producer,soundtrack	tt0810788,tt0105323,tt0108333,tt0455596
nm0000271	Anne Archer	1947	\N	actress,producer,soundtrack	tt0160009,tt0108122,tt0093010,tt0105112
nm0000272	Fanny Ardant	1949	\N	actress,director,writer	tt0127536,tt0401711,tt0086551,tt0283832
nm0000273	Alan Arkin	1934	\N	actor,soundtrack,director	tt1024648,tt0449059,tt0104348,tt0099487
nm0000274	David Arquette	1971	\N	producer,actor,director	tt0134084,tt0151738,tt0271367,tt0120082
nm0000275	Rosanna Arquette	1959	\N	actress,director,producer	tt0089017,tt0110912,tt0088680,tt0190138
nm0000276	Sean Astin	1971	\N	actor,producer,director	tt0089218,tt0120737,tt0167260,tt0167261
nm0000277	Richard Attenborough	1923	2014	actor,producer,director	tt0057115,tt0083987,tt0110527,tt0107290
nm0000278	Pernilla August	1958	\N	actress,director,writer	tt0104350,tt1437366,tt0121765,tt0120915
nm0000279	Hank Azaria	1964	\N	actor,soundtrack,producer	tt0096697,tt0115685,tt1839481,tt0118617
nm0000280	Catherine Bach	1954	\N	actress,soundtrack	tt0078607,tt0080213,tt1414382,tt0072288
nm0000281	Scott Baio	1960	\N	actor,director,producer	tt0281680,tt0367279,tt0270846,tt0070992
nm0000282	Scott Bairstow	1970	\N	actor	tt0119925,tt0283084,tt0120512,tt0182587
nm0000283	Brenda Bakke	1963	\N	actress	tt0119488,tt0114781,tt0114608,tt0107144
nm0000284	Adam Baldwin	1962	\N	actor,soundtrack	tt0116629,tt0093058,tt0379786,tt0187393
nm0000285	Alec Baldwin	1958	\N	actor,producer,soundtrack	tt1230414,tt0407887,tt0104348,tt0318374
nm0000286	Stephen Baldwin	1966	\N	actor,producer,director	tt0158622,tt0486583,tt0114814,tt0115683
nm0000287	William Baldwin	1963	\N	actor,producer,stunts	tt0367089,tt0101393,tt0108162,tt0113010
nm0000288	Christian Bale	1974	\N	actor,editorial_department,producer	tt0468569,tt6266538,tt1800241,tt0372784
nm0000289	Ellen Barkin	1954	\N	actress,producer	tt0116277,tt0157503,tt0108330,tt0098273
nm0000290	John Barry	1933	2011	music_department,soundtrack,composer	tt0063227,tt0089755,tt0093428,tt0099348
nm0000291	Angela Bassett	1958	\N	actress,producer,director	tt1825683,tt0114558,tt0118884,tt2302755
nm0000292	Michelle Bauer	1958	\N	actress,miscellaneous,costume_department	tt0094998,tt0097703,tt0103213,tt0181017
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt1617661,tt0120737,tt0944947,tt1181791
nm0000294	Amanda Bearse	1958	\N	actress,director,producer	tt0089175,tt0338067,tt0092400,tt0247121
nm0000295	Kate Beckinsale	1973	\N	actress,soundtrack	tt0320691,tt0452702,tt0401855,tt0338751
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0113987,tt0087799,tt0112178,tt0085862
nm0000297	Tom Berenger	1949	\N	actor,producer,writer	tt1375666,tt0091763,tt0097815,tt1433108
nm0000298	Candice Bergen	1946	\N	actress,producer,soundtrack	tt0094514,tt0212346,tt0256415,tt0901476
nm0000299	Michael Biehn	1956	\N	actor,producer,director	tt0090605,tt0108358,tt0088247,tt1077258
nm0000300	Juliette Binoche	1964	\N	actress,art_department,miscellaneous	tt0116209,tt0108394,tt0241303,tt1219827
nm0000301	Thora Birch	1982	\N	actress,producer,soundtrack	tt0162346,tt0105112,tt0107120
nm0000302	Jacqueline Bisset	1944	\N	actress,producer	tt0062765,tt0071877,tt0088322,tt0061452
nm0000303	Honor Blackman	1925	\N	actress,soundtrack	tt0243155,tt0054518,tt0057197,tt0058150
nm0000304	Linda Blair	1959	\N	actress,soundtrack,producer	tt0070047,tt0082511,tt0088044,tt0079822
nm0000305	Mel Blanc	1908	1989	actor,soundtrack,music_department	tt0096438,tt0077278,tt0078915,tt0094939
nm0000306	Brian Blessed	1936	\N	actor,soundtrack,director	tt0120915,tt0120855,tt0080745,tt0346491
nm0000307	Helena Bonham Carter	1966	\N	actress,soundtrack,producer	tt0137523,tt0408236,tt1504320,tt1707386
nm0000308	Ernest Borgnine	1917	2012	actor,soundtrack,producer	tt0069113,tt0082340,tt0048356,tt0119177
nm0000309	David Bowie	1947	2016	soundtrack,actor,composer	tt0482571,tt0196229,tt0074851,tt0091369
nm0000310	Bruce Boxleitner	1950	\N	actor,producer	tt0105946,tt0084827,tt0871427,tt1104001
nm0000311	Annie Rosar	1888	1963	actress,soundtrack	tt0052996,tt0034396,tt0041552,tt0034800
nm0000312	Amy Brenneman	1964	\N	actress,producer,writer	tt0116287,tt0411061,tt0113277,tt0209069
nm0000313	Jeff Bridges	1949	\N	actor,soundtrack,producer	tt1403865,tt0118715,tt2582782,tt1263670
nm0000314	Charles Bronson	1921	2003	actor	tt0064116,tt0054047,tt0071402,tt0057115
nm0000315	Louise Brooks	1906	1985	actress,soundtrack	tt0021917,tt0020475,tt0018737,tt0017382
nm0000316	Mel Brooks	1926	\N	actor,writer,soundtrack	tt0094012,tt0395251,tt0082517,tt0071230
nm0000317	Clancy Brown	1959	\N	actor,soundtrack,producer	tt0111161,tt0803096,tt0120201,tt3501632
nm0000318	Tim Burton	1958	\N	producer,miscellaneous,director	tt0099487,tt0121164,tt0408236,tt1142977
nm0000319	Yancy Butler	1970	\N	actress	tt0274298,tt1250777,tt0107076,tt1650554
nm0000320	Luis Buñuel	1900	1983	writer,director,actor	tt0068361,tt0042804,tt0061395,tt0056732
nm0000321	Gabriel Byrne	1950	\N	actor,producer,writer	tt0145531,tt0146675,tt0114814,tt0100150
nm0000322	Emmanuelle Béart	1963	\N	actress,soundtrack	tt0113947,tt0189142,tt0283832,tt0117060
nm0000323	Michael Caine	1933	\N	actor,producer,soundtrack	tt0468569,tt0258068,tt0124315,tt0482571
nm0000324	Barbara Carrera	1945	\N	actress,soundtrack	tt0084112,tt0085862,tt0076210,tt0086006
nm0000325	David Caruso	1956	\N	actor,producer	tt0228750,tt0261983,tt0083944,tt0113552
nm0000326	Kim Cattrall	1956	\N	actress,producer,soundtrack	tt0102975,tt0159206,tt1261945,tt1000774
nm0000327	Lacey Chabert	1982	\N	actress,soundtrack,producer	tt0821640,tt0120738,tt0277371,tt0377092
nm0000328	Richard Chamberlain	1934	\N	actor,soundtrack,producer	tt0080274,tt0072308,tt0076299,tt0085101
nm0000329	Jackie Chan	1954	\N	actor,stunts,producer	tt0120812,tt0089374,tt0127357,tt0266915
nm0000330	Stockard Channing	1944	\N	actress,soundtrack,miscellaneous	tt0077631,tt0198021,tt0108149,tt0120791
nm0000331	Chevy Chase	1943	\N	actor,writer,soundtrack	tt0080487,tt0092086,tt0089155,tt0085995
nm0000332	Don Cheadle	1964	\N	actor,producer,soundtrack	tt0395169,tt0375679,tt1540133,tt0988047
nm0000333	Cher	1946	\N	soundtrack,actress,director	tt0100140,tt1126591,tt0093565,tt0086312
nm0000334	Yun-Fat Chow	1955	\N	actor,writer,soundtrack	tt1098327,tt0190332,tt0120008,tt0473444
nm0000335	Glenn Close	1947	\N	actress,soundtrack,producer	tt0093010
nm0000336	James Coburn	1928	2002	actor,producer,director	tt0057115,tt0054047,tt0118564,tt0067140
nm0000337	Rachael Leigh Cook	1979	\N	actress,producer	tt0331811,tt0208988,tt0160862,tt0385700
nm0000338	Francis Ford Coppola	1939	\N	producer,director,writer	tt0068646,tt0071360,tt0078788,tt0071562
nm0000339	Roger Corman	1926	\N	producer,director,actor	tt0099612,tt0452608,tt0091419,tt0102926
nm0000340	Cindy Crawford	1966	\N	actress,producer,soundtrack	tt0113010,tt0120577,tt1441109,tt0115082
nm0000341	Michael Crichton	1942	2008	writer,producer,director	tt0117998,tt0107290,tt0108757,tt0070909
nm0000342	James Cromwell	1940	\N	actor,producer,soundtrack	tt0120689,tt0119488,tt0144214,tt0112431
nm0000343	David Cronenberg	1943	\N	director,actor,writer	tt0091064,tt0120907,tt0115964,tt0094964
nm0000344	Denise Crosby	1957	\N	actress,producer	tt0098084,tt0120647,tt0104119,tt0083511
nm0000345	Billy Crystal	1948	\N	actor,writer,producer	tt0098635,tt0113097,tt0122933,tt0101587
nm0000346	Macaulay Culkin	1980	\N	actor,director,producer	tt0104431,tt0099785,tt0102492,tt0107034
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0099810,tt0112715,tt0073629,tt0088930
nm0000348	Tony Curtis	1925	2010	actor,soundtrack,producer	tt0066701,tt0054331,tt0053291,tt0051036
nm0000349	Joan Cusack	1962	\N	actress,soundtrack,writer	tt0096463,tt0119360,tt0119229,tt1659337
nm0000350	Beverly D'Angelo	1951	\N	actress,soundtrack,producer	tt0120434,tt0085995,tt0097958,tt0120586
nm0000351	Donna D'Errico	1968	\N	actress,producer,director	tt7309348,tt3589144,tt8452572
nm0000352	Vincent D'Onofrio	1959	\N	actor,producer,soundtrack	tt0209958,tt0093058,tt0109707,tt0119654
nm0000353	Willem Dafoe	1955	\N	actor,soundtrack,producer	tt5649144,tt2278388,tt0189998,tt0145487
nm0000354	Matt Damon	1970	\N	producer,actor,soundtrack	tt0407887,tt0134119,tt3659388,tt0119217
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt2488496,tt0080684,tt0076759,tt0086190
nm0000356	Sybil Danning	1952	\N	actress,producer,writer	tt0080421,tt0373883,tt0092546,tt0085672
nm0000357	Lolita Davidovich	1961	\N	actress	tt0096943,tt0329717,tt0120684,tt0092513
nm0000358	Daniel Day-Lewis	1957	\N	actor,music_department,soundtrack	tt0104691,tt0217505,tt0469494,tt0443272
nm0000359	Olivier De Funès	1949	\N	actor,writer,soundtrack	tt0064425,tt0060475,tt0065848,tt0250077
nm0000360	Rebecca De Mornay	1959	\N	actress,soundtrack,producer	tt0396269,tt0089941,tt0104389,tt0086200
nm0000361	Brian De Palma	1940	\N	director,writer,producer	tt0071994,tt0080661,tt0094226,tt0086984
nm0000362	Danny DeVito	1944	\N	actor,producer,director	tt0103776,tt0094142,tt0117008,tt0098621
nm0000363	Loren Dean	1969	\N	actor,soundtrack	tt0098258,tt0119177,tt0120660,tt0186566
nm0000364	Sandra Dee	1942	2005	actress,soundtrack	tt0053320,tt0052918,tt0052847,tt0056093
nm0000365	Julie Delpy	1969	\N	actress,writer,director	tt0381681,tt0111507,tt0841044,tt0112471
nm0000366	Catherine Deneuve	1943	\N	actress,soundtrack,producer	tt0061395,tt0168629,tt0059646,tt0283832
nm0000367	Gérard Depardieu	1948	\N	actor,producer,soundtrack	tt0083789,tt0099334,tt0103594,tt0120744
nm0000368	Laura Dern	1967	\N	actress,producer,writer	tt0107290,tt2305051,tt4015500,tt0090756
nm0000369	Matt Dillon	1964	\N	actor,art_department,director	tt4003440,tt0375679,tt0129387,tt0097240
nm0000370	Walt Disney	1901	1966	producer,actor,director	tt0029583,tt0048280,tt0058331,tt0034492
nm0000371	Ami Dolenz	1969	\N	actress,producer,miscellaneous	tt0056758,tt0086765,tt0092718,tt0104879
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0095488,tt0090466,tt0119528,tt0110428
nm0000373	Michael Dorn	1952	\N	actor,director,writer	tt0117731,tt0092455,tt0120844,tt0253754
nm0000374	Brad Dourif	1950	\N	actor	tt0087182,tt0073486,tt0167261,tt0118583
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt0848228,tt1300854,tt0371746,tt0988045
nm0000376	Fran Drescher	1957	\N	writer,actress,producer	tt0106080,tt0088258,tt0837562,tt0118691
nm0000377	Richard Dreyfuss	1947	\N	actor,producer,soundtrack	tt0073195,tt0075860,tt0069704,tt0076095
nm0000378	Minnie Driver	1970	\N	actress,soundtrack,producer	tt0119217,tt0117665,tt0119229,tt0293508
nm0000379	Kirsten Dunst	1982	\N	actress,producer,soundtrack	tt0422720,tt1527186,tt0110148,tt0145487
nm0000380	Robert Duvall	1931	\N	actor,producer,soundtrack	tt0078788,tt0316356,tt0068646,tt0118632
nm0000381	Anthony Edwards	1962	\N	actor,producer,director	tt0108757,tt0092099,tt0817177,tt0088000
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0106504,tt0120255,tt0273435,tt2326612
nm0000383	Jennifer Ehle	1969	\N	actress	tt1790885,tt2392830,tt4919484,tt0112130
nm0000384	Danny Elfman	1953	\N	music_department,soundtrack,composer	tt0119654,tt0107688,tt0367594,tt0121164
nm0000385	Sam Elliott	1944	\N	actor,producer,writer	tt0118715,tt1517451,tt0277434,tt0098206
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt1628841,tt0319262,tt0120685,tt0116629
nm0000387	Robert Englund	1947	\N	actor,miscellaneous,director	tt0087800,tt0093629,tt0095742,tt0329101
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0093058,tt0324216,tt0114369,tt0095647
nm0000389	Emilio Estevez	1962	\N	actor,director,writer	tt1441912,tt3294746,tt0088847,tt0308055
nm0000390	Joe Eszterhas	1944	\N	writer,producer,miscellaneous	tt0108162,tt0118577,tt0114436,tt0103772
nm0000391	Rupert Everett	1959	\N	actor,soundtrack,producer	tt0109592,tt0119738,tt2404639,tt0122541
nm0000392	Morgan Fairchild	1950	\N	actress,soundtrack,producer	tt0108778,tt1754944,tt0084652,tt0081858
nm0000393	Peter Falk	1927	2011	actor,producer,soundtrack	tt0093191,tt0093779,tt0074937,tt1466074
nm0000394	Chris Farley	1964	1997	actor,soundtrack,stunts	tt0115697,tt0114694,tt0118708,tt0106598
nm0000395	Terry Farrell	1963	\N	actress	tt0104409,tt0174378,tt0090685,tt0106145
nm0000396	Farrah Fawcett	1947	2009	actress,producer,soundtrack	tt0079285,tt0074812,tt0073972,tt0082136
nm0000397	Corey Feldman	1971	\N	actor,producer,soundtrack	tt0093437,tt0087363,tt0089218,tt0092005
nm0000398	Sally Field	1946	\N	actress,producer,soundtrack	tt0109830,tt0076729,tt0443272,tt0098384
nm0000399	David Fincher	1962	\N	director,producer,actor	tt2267998,tt0443706,tt1285016,tt0114369
nm0000400	Linda Fiorentino	1958	\N	actress,soundtrack	tt0110308,tt0088680,tt0120655,tt0119654
nm0000401	Laurence Fishburne	1961	\N	actor,producer,director	tt0133093,tt1598778,tt0234215,tt0327056
nm0000402	Carrie Fisher	1956	2016	actress,soundtrack,writer	tt2527336,tt0080684,tt0086190,tt0076759
nm0000403	Bridget Fonda	1964	\N	actress,soundtrack	tt0119396,tt0139414,tt0105414,tt0120324
nm0000404	Jane Fonda	1937	\N	actress,producer,soundtrack	tt3312830,tt0062711,tt0369735,tt0067309
nm0000405	Michelle Forbes	1965	\N	actress	tt0844441,tt1951266,tt0116225,tt0107302
nm0000406	John Ford	1894	1973	director,producer,writer	tt0032551,tt0056217,tt0045061,tt0031971
nm0000407	Vivica A. Fox	1964	\N	actress,producer,soundtrack	tt1628841,tt0116629,tt0118688,tt0266697
nm0000408	Jonathan Frakes	1952	\N	actor,director,producer	tt0111280,tt0117731,tt0253754,tt0120844
nm0000409	Brendan Fraser	1968	\N	actor,producer,soundtrack	tt0120616,tt0209163,tt0859163,tt0375679
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0280707,tt0120514,tt0371724,tt0434409
nm0000411	Edward Furlong	1977	\N	actor,producer,soundtrack	tt0120586,tt0165710,tt0103064,tt0107130
nm0000412	Andy Garcia	1956	\N	actor,producer,soundtrack	tt0099674,tt0349903,tt0343996,tt0240772
nm0000413	Janeane Garofalo	1964	\N	actress,writer,producer	tt0382932,tt0243655,tt0132347,tt0120032
nm0000414	Teri Garr	1947	\N	actress,soundtrack	tt0088680,tt0072431,tt0075860,tt0084805
nm0000415	Jami Gertz	1965	\N	actress,producer,executive	tt0088128,tt0320970,tt0117998,tt0093437
nm0000416	Terry Gilliam	1940	\N	writer,actor,animation_department	tt0088846,tt1054606,tt0071853,tt0081633
nm0000417	Crispin Glover	1964	\N	actor,soundtrack,producer	tt0091860,tt1729632,tt0088763,tt0310357
nm0000418	Danny Glover	1946	\N	actor,producer,director	tt0122151,tt1190080,tt0104714,tt0093409
nm0000419	Jean-Luc Godard	1930	\N	director,writer,editor	tt0059592,tt0053472,tt0086153,tt0057345
nm0000420	Valeria Golino	1965	\N	actress,producer,soundtrack	tt0107144,tt0116225,tt0095953,tt0102059
nm0000421	Cuba Gooding Jr.	1968	\N	actor,soundtrack,producer	tt0116695,tt0316465,tt0101507,tt0203019
nm0000422	John Goodman	1952	\N	actor,soundtrack,producer	tt0101410,tt1907668,tt1024648,tt1179933
nm0000423	Serena Grandi	1958	\N	actress	tt0104123,tt0089598,tt2358891,tt0089271
nm0000424	Hugh Grant	1960	\N	actor,soundtrack	tt0125439,tt0109831,tt0276751,tt0314331
nm0000425	Peter Greenaway	1942	\N	director,writer,editor	tt0446750,tt0092929,tt0097108,tt1702429
nm0000426	Jennifer Grey	1960	\N	actress,soundtrack	tt0091042,tt0092890,tt2013293,tt0087985
nm0000427	Pam Grier	1949	\N	actress,soundtrack,writer	tt0069897,tt0094602,tt0119396,tt0116225
nm0000428	D.W. Griffith	1875	1948	director,writer,producer	tt0004972,tt0006864,tt0010484,tt0014604
nm0000429	Melanie Griffith	1957	\N	actress,producer	tt0096463,tt0119558,tt0086984,tt0091983
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0094137,tt0091949,tt0087928,tt0088933
nm0000431	Taylor Hackford	1944	\N	producer,director,writer	tt0084434,tt0106469,tt0350258,tt0109642
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0069113,tt0105695,tt0265666,tt0067116
nm0000433	Corey Haim	1971	2010	actor,producer,soundtrack	tt0093437,tt0091445,tt0095519,tt1121931
nm0000434	Mark Hamill	1951	\N	actor,producer,soundtrack	tt0076759,tt0086190,tt2527336,tt0080684
nm0000435	Daryl Hannah	1960	\N	actress,producer,director	tt0378194,tt0088161,tt0094291,tt0266697
nm0000436	Curtis Hanson	1945	2016	director,producer,writer	tt0119488,tt0104389,tt0185014,tt0388125
nm0000437	Woody Harrelson	1961	\N	actor,producer,soundtrack	tt2356777,tt1156398,tt0117318,tt0110632
nm0000438	Ed Harris	1950	\N	actor,producer,director	tt0112384,tt0183659,tt0800308,tt0120382
nm0000439	Neil Patrick Harris	1973	\N	actor,soundtrack,producer	tt0460649,tt2267998,tt0120201,tt4834206
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt0189990,tt1282224,tt0126098,tt0118749
nm0000441	Noah Hathaway	1971	\N	actor,miscellaneous	tt0092115,tt0088323,tt0076984,tt0077215
nm0000442	Rutger Hauer	1944	2019	actor,producer,director	tt1640459,tt0083658,tt0372784,tt0091209
nm0000443	Goldie Hawn	1945	\N	actress,producer,soundtrack	tt0104070,tt0116313,tt0116242,tt0093693
nm0000444	Glenne Headly	1955	2017	actress	tt2229499,tt0095031,tt0099422,tt0113862
nm0000445	Dan Hedaya	1940	\N	actor,soundtrack	tt0166924,tt0114814,tt0112697,tt0086979
nm0000446	Mariel Hemingway	1961	\N	actress,soundtrack,producer	tt0079522,tt0094074,tt0159730,tt0208874
nm0000447	Marilu Henner	1952	\N	actress,miscellaneous,producer	tt0102250,tt0105017,tt0087507,tt0077089
nm0000448	Lance Henriksen	1940	\N	actor,miscellaneous	tt0090605,tt0370263,tt0093605,tt0107076
nm0000449	Natasha Henstridge	1974	\N	actress,producer,soundtrack	tt0120841,tt0114508,tt0190138,tt0228333
nm0000450	Philip Seymour Hoffman	1967	2014	actor,producer,soundtrack	tt0181875,tt0379725,tt0472062,tt1560747
nm0000451	Gaby Hoffmann	1982	\N	actress,soundtrack,director	tt0116242,tt0097351,tt0114011,tt0098554
nm0000452	Lauren Holly	1963	\N	actress,producer	tt0207201,tt0106770,tt0103512,tt0109686
nm0000453	Ian Holm	1931	\N	actor,soundtrack,animation_department	tt0120737,tt0167260,tt0382932,tt0120255
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0114898,tt0090756,tt0064276,tt0111257
nm0000455	John Hughes	1950	2009	writer,producer,director	tt0098554,tt0088847,tt0093748,tt0090305
nm0000456	Holly Hunter	1958	\N	actress,producer,soundtrack	tt0092699,tt5462602,tt0107822,tt0328538
nm0000457	John Hurt	1940	2017	actor,soundtrack	tt1340800,tt0080678,tt0078748,tt0087803
nm0000458	William Hurt	1950	\N	actor,producer	tt0092699,tt0080360,tt0399146,tt0120738
nm0000459	Timothy Hutton	1960	\N	actor,producer,director	tt1103987,tt0343737,tt0115639,tt0081283
nm0000460	Jeremy Irons	1948	\N	actor,soundtrack,producer	tt0094964,tt0110357,tt2094766,tt2975590
nm0000461	Michael Ironside	1950	\N	actor,producer,writer	tt0100802,tt0092099,tt0120201,tt0081455
nm0000462	Kate Jackson	1948	\N	actress,producer,director	tt0085088,tt0059978,tt0084293,tt0073972
